,shape,rate,atr_fib,cancer,copd,demen,diab,h_fail,hypert,ihd,renal,liver,stroke,atr_fib:age,cancer:age,copd:age,demen:age,diab:age,h_fail:age,hypert:age,ihd:age,renal:age,liver:age,stroke:age
shape,3.78E-07,-2.98E-05,1.55E-06,9.65E-06,8.88E-06,4.61E-06,5.80E-06,-8.98E-07,1.78E-05,-8.39E-07,4.63E-06,3.24E-06,2.05E-06,-2.18E-08,-1.23E-07,-1.12E-07,-6.23E-08,-7.37E-08,1.07E-08,-2.38E-07,8.98E-09,-6.25E-08,-4.26E-08,-2.71E-08
rate,-2.98E-05,0.002397573,-0.000118422,-0.000815468,-0.000752048,-0.000346829,-0.00049061,8.68E-05,-0.001433768,8.43E-05,-0.0003653,-0.000256416,-0.000165446,1.61E-06,1.02E-05,9.32E-06,4.59E-06,6.11E-06,-1.03E-06,1.87E-05,-9.36E-07,4.81E-06,3.31E-06,2.14E-06
atr_fib,1.55E-06,-0.000118422,0.011578056,-0.000294301,-0.000166477,-0.00083584,-0.00012515,-0.003689261,-0.000533406,-0.000554705,-0.000559795,-0.000353754,-0.001147987,-0.000138913,3.53E-06,2.05E-06,9.93E-06,1.43E-06,4.42E-05,6.58E-06,6.64E-06,6.82E-06,3.96E-06,1.39E-05
cancer,9.65E-06,-0.000815468,-0.000294301,0.005304141,-0.000215231,-0.000264207,-0.000156411,-0.000105231,-0.000220069,-0.000254122,-0.000171884,-0.00065678,-0.000107074,3.56E-06,-6.61E-05,2.73E-06,3.05E-06,1.96E-06,1.22E-06,2.87E-06,3.16E-06,2.14E-06,8.15E-06,1.32E-06
copd,8.88E-06,-0.000752048,-0.000166477,-0.000215231,0.006151404,-0.000134231,-0.000358945,-0.000830653,-0.000119149,-0.000625618,7.76E-06,-0.000943562,-0.000303754,2.17E-06,2.69E-06,-7.79E-05,1.49E-06,4.49E-06,1.02E-05,1.47E-06,7.60E-06,-6.25E-08,1.21E-05,3.63E-06
demen,4.61E-06,-0.000346829,-0.00083584,-0.000264207,-0.000134231,0.015052166,1.07E-05,-0.000766482,-6.66E-05,-0.000668716,-0.000534283,-0.001827761,-0.002196645,9.85E-06,3.12E-06,1.34E-06,-0.000177005,-2.96E-07,9.29E-06,7.05E-07,7.87E-06,6.31E-06,2.22E-05,2.65E-05
diab,5.80E-06,-0.00049061,-0.00012515,-0.000156411,-0.000358945,1.07E-05,0.005455294,-0.00046169,-0.000886273,-0.000390872,-0.00042648,-0.000988457,-0.000256652,1.56E-06,1.94E-06,4.48E-06,-7.93E-08,-6.79E-05,5.58E-06,1.08E-05,4.73E-06,5.22E-06,1.22E-05,3.08E-06
h_fail,-8.98E-07,8.68E-05,-0.003689261,-0.000105231,-0.000830653,-0.000766482,-0.00046169,0.013460689,-0.000346539,-0.003389521,-0.000947003,-0.000415668,-0.000444846,4.42E-05,1.20E-06,1.00E-05,9.07E-06,5.58E-06,-0.000161706,4.37E-06,4.06E-05,1.14E-05,4.98E-06,5.34E-06
hypert,1.78E-05,-0.001433768,-0.000533406,-0.000220069,-0.000119149,-6.66E-05,-0.000886273,-0.000346539,0.004235421,-0.000489686,-0.001081562,0.000236743,-0.000779606,6.65E-06,2.80E-06,1.33E-06,1.02E-06,1.08E-05,4.44E-06,-5.32E-05,5.98E-06,1.35E-05,-3.14E-06,9.69E-06
ihd,-8.39E-07,8.43E-05,-0.000554705,-0.000254122,-0.000625618,-0.000668716,-0.000390872,-0.003389521,-0.000489686,0.018080123,-0.000600099,-0.000784792,-0.000745636,6.63E-06,3.19E-06,7.66E-06,7.63E-06,4.73E-06,4.05E-05,5.90E-06,-0.000219446,7.27E-06,1.03E-05,8.87E-06
