readcode,readterm,cat
B8363,Carcinoma in situ of scrotum,Any malignancy
B305A,Malignant neoplasm of third metacarpal bone,Any malignancy
B0011,"Malignant neoplasm of lower lip, lipstick area",Any malignancy
1550B,HAEMANGIOENDOTHELIAL SARCOMA LIVER,Any malignancy
BB5X1,[M]Clear cell adenocarcinoma NOS,Any malignancy
B504.,Malignant neoplasm of cornea,Any malignancy
1733A,MALIGNANT NEOPLASM FACE,Any malignancy
B470z,Malignant neoplasm of undescended testis NOS,Any malignancy
BBe7.,"[M]Schwannoma, malignant",Any malignancy
B308.,Malignant neoplasm of short bones of leg,Any malignancy
B6006,Reticulosarcoma of intrapelvic lymph nodes,Any malignancy
B4A1z,Malignant neoplasm of renal pelvis NOS,Any malignancy
B4A0.,Malignant neoplasm of kidney parenchyma,Any malignancy
BBM01,"[M]Brenner tumour, malignant",Any malignancy
BBr27,[M]Adult T-cell leukaemia/lymphoma,Any malignancy
2104A,ADAMANTINOMA,Any malignancy
B64yz,Other lymphoid leukaemia NOS,Any malignancy
B48y1,Malignant neoplasm of tunica vaginalis,Any malignancy
1729L,MOLE (SKIN) MALIGNANT,Any malignancy
B3000,Malignant neoplasm of ethmoid bone,Any malignancy
B6270,Follicular non-Hodgkin's small cleaved cell lymphoma,Any malignancy
BB612,[M]Sweat gland adenocarcinoma,Any malignancy
B6152,Hodgkin's mixed cellularity of intrathoracic lymph nodes,Any malignancy
B305C,Malignant neoplasm of fifth metacarpal bone,Any malignancy
B651.,Chronic granulocytic leukaemia,Any malignancy
B115.,Malignant neoplasm of lesser curve of stomach unspecified,Any malignancy
B640.,Acute lymphoid leukaemia,Any malignancy
B831.,CIN III - carcinoma in situ of cervix,Any malignancy
BB5D.,[M]Biliary tract adenomas and adenocarcinomas,Any malignancy
BB5V7,[M]Mucoid cell carcinoma,Any malignancy
B627E,Diffuse large B-cell lymphoma,Any malignancy
BBV1.,[M]Osteosarcoma NOS,Any malignancy
B3058,Malignant neoplasm of first metacarpal bone,Any malignancy
B3500,Malignant neoplasm of nipple of male breast,Any malignancy
B6303,Lambda light chain myeloma,Any malignancy
7G03J,Excision of melanoma,Any malignancy
B141.,Carcinoma of rectum,Any malignancy
ByuDF,[X]Non-Hodgkin's lymphoma NOS,Any malignancy
Byu40,[X]Malignant melanoma of other+unspecified parts of face,Any malignancy
1890A,NEOPLASM MALIGNANT KIDNEY,Any malignancy
BB5S2,[M]Alveolar cell carcinoma,Any malignancy
BB9E0,[M]Intraductal carcinoma and lobular carcinoma in situ,Any malignancy
BB57.,"[M]Adenocarcinoma, intestinal type",Any malignancy
B3063,Malignant neoplasm of sacral vertebra,Any malignancy
B3362,Malignant neoplasm of skin of fore-arm,Any malignancy
BBK02,[M]Leiomyosarcoma NOS,Any malignancy
